Source Country,Vehicle ID,Brand *,Model *,Variant,Year From *,Year To,Body Type *,Segment,Drivetrain *,Seats,Battery kWh *,Battery Type,Mass kg *,Drag Cd *,Frontal A m2 *,Roll Cr,Drivetrain eff,Regen eff,Motor kW,Torque Nm,Top Speed kmh,0-100 sec,Cargo L,Towing kg,Length mm,Width mm,Height mm,Certified Range km *,Range Standard *,Real Range km *,Consumption Wh/km *,k_ref (derived),DC Plug *,AC Plug *,Peak DC kW *,Peak AC kW *,0-80pct min,V2L,V2G,SoC Min pct,SoC Max pct,Market Code *,Variant Note,Price local,Currency,Avail From,Heat Pump,Data Quality *,Data Source *,Source URL,Last Verified,Verified By,Notes,Battery Warranty Years,Battery Warranty Capacity Pct,tesla_supercharger_compat,Battery kWh usable,brand_norm,Drag Cd source,Mass kg source,Frontal A source,Roll Cr source,Drivetrain eff source,Regen eff source,Match method
India,IN-2025-0001,Tata Motors,Nexon EV,,2024,,SUV,,FWD,5.0,40.5,LFP,1400.0,0.29,2.35,0.012,0.92,0.65,105.0,215.0,150.0,8.9,,,3995.0,1804.0,1620.0,489.0,ARAI-MIDC,,,,CCS2,Type 2,50.0,7.2,56.0,Yes,No,10.0,80.0,IN,,,,,No,Verified-OEM,Tata Motors official OEM brochure (ARAI-MIDC certified range),https://ev.tatamotors.com/nexon/ev/specifications.html,2026-05-06,OEM brochure cross-reference,"Nexon EV LR 40.5 kWh Empowered+ A. ARAI-MIDC certified 489 km range. CCS2 50 kW DC. | Battery warranty: 8yr/70% (src: https://ev.tatamotors.com/service/warranty.html) | OEM harvest v6: Tata Nexon EV LR 40.5 kWh; 50 kW DC; 7.2 kW AC | AIS regulatory v8: AIS-156 (battery safety, equiv UN GTR 20) + AIS-038 Rev 2 (battery system) mandatory for Indian sale per CMVR Rule 124. Phase 1 effective 1-Dec-2022, Phase 2 effective 31-Mar-2023.",8,70,False,28.6,Tata Motors,ASKFILO,ASKFILO,ASKFILO,ORIGINAL-KEPT,ORIGINAL-KEPT,ORIGINAL-KEPT,REF
India,IN-2025-0002,Tata Motors,Punch EV,,2024,,SUV,,FWD,5.0,40.0,LFP,1255.0,0.34,2.42,0.012,0.92,0.65,95.0,154.0,140.0,9.0,,,3880.0,1742.0,1622.0,468.0,ARAI-MIDC,,,,CCS2,Type 2,65.0,7.2,26.0,Yes,No,10.0,80.0,IN,,,,,No,Verified-OEM,Tata Motors official OEM brochure 2026 facelift (ARAI-MIDC certified range),https://ev.tatamotors.com/punch/ev/specifications.html,2026-05-06,OEM brochure cross-reference,"Punch EV facelift 2026 LR 40 kWh. ARAI 468 km, C75 real-world ~355 km. 65 kW DC fast charge 20-80% in 26 min. | Battery warranty: 8yr/70% (src: https://ev.tatamotors.com/service/warranty.html) | OEM harvest v6: Tata Punch.ev LR 35 kWh; 50 kW DC; 7.2 kW AC | AIS regulatory v8: AIS-156 (battery safety, equiv UN GTR 20) + AIS-038 Rev 2 (battery system) mandatory for Indian sale per CMVR Rule 124. Phase 1 effective 1-Dec-2022, Phase 2 effective 31-Mar-2023.",8,70,False,28.0,Tata Motors,CLASS-MED,CLASS-MED,CLASS-MED,ORIGINAL-KEPT,ORIGINAL-KEPT,ORIGINAL-KEPT,REF
India,IN-2025-0003,Tata Motors,Tiago EV,,2024,,Hatch,,BEV,,24.0,LFP (Tata AutoComp),1142.0,0.32,2.19,0.012,0.95,0.65,,,,,,,,,,250.0,,,,,CCS2,Type 2,25.0,3.3,,,,10.0,80.0,IN,,,,,,Verified-OEM-Stated,pending,https://ev.tatamotors.com/tiago-ev,2026-05-06,,"Brand 'Tata Motors' / Model 'Tiago EV' not in EEA or open-ev-data; needs OEM source; FAME II approved (PIB ID 1806139, 15 Mar 2022) | Battery warranty: 8yr/70% (src: https://ev.tatamotors.com/service/warranty.html) | OEM harvest v6: Tata Tiago EV LR 24 kWh; 25 kW DC; 3.3 kW AC | AIS regulatory v8: AIS-156 (battery safety, equiv UN GTR 20) + AIS-038 Rev 2 (battery system) mandatory for Indian sale per CMVR Rule 124. Phase 1 effective 1-Dec-2022, Phase 2 effective 31-Mar-2023. | Range backfill v9.1: WLTP-equivalent from OEM brochure (audit-driven fix) | Battery Type v10: triangulated supplier+chemistry mapping (OEM sustainability reports + Reuters/Bloomberg supplier deals + batterydesign.net + Wikipedia per-model)",8,70,False,16.8,Tata Motors,CLASS-MED,CLASS-MED,CLASS-MED,ORIGINAL-KEPT,ORIGINAL-KEPT,ORIGINAL-KEPT,REF
India,IN-2025-0004,Tata Motors,Tigor EV,,2024,,Sedan,,BEV,,26.0,LFP (Tata AutoComp),1235.0,0.3,2.18,0.012,0.95,0.65,,,,,,,,,,250.0,,,,,CCS2,Type 2,25.0,3.3,,,,10.0,80.0,IN,,,,,,Verified-OEM-Stated,pending,https://ev.tatamotors.com/tigor-ev,2026-05-06,,"Brand 'Tata Motors' / Model 'Tigor EV' not in EEA or open-ev-data; needs OEM source; FAME II approved (PIB ID 1806139, 15 Mar 2022) | Battery warranty: 8yr/70% (src: https://ev.tatamotors.com/service/warranty.html) | OEM harvest v6: Tata Tigor EV 26 kWh; 25 kW DC; 3.3 kW AC | AIS regulatory v8: AIS-156 (battery safety, equiv UN GTR 20) + AIS-038 Rev 2 (battery system) mandatory for Indian sale per CMVR Rule 124. Phase 1 effective 1-Dec-2022, Phase 2 effective 31-Mar-2023. | Range backfill v9.1: WLTP-equivalent from OEM brochure (audit-driven fix) | Battery Type v10: triangulated supplier+chemistry mapping (OEM sustainability reports + Reuters/Bloomberg supplier deals + batterydesign.net + Wikipedia per-model)",8,70,False,18.2,Tata Motors,CLASS-MED,CLASS-MED,CLASS-MED,ORIGINAL-KEPT,ORIGINAL-KEPT,ORIGINAL-KEPT,REF
India,IN-2025-0005,Tata Motors,Harrier EV,,2024,,SUV,,AWD,5.0,75.0,LFP,2195.0,0.36,2.81,0.012,0.92,0.65,290.0,504.0,180.0,6.3,,,4607.0,1922.0,1740.0,622.0,ARAI-MIDC,,,,CCS2,Type 2,120.0,7.2,25.0,Yes,Yes,10.0,80.0,IN,,,,,Yes,Verified-OEM,Tata Motors official + Wikipedia (multi-sourced),https://ev.tatamotors.com/harrier/ev/specifications.html,2026-05-06,OEM brochure cross-reference,"Harrier EV 75 kWh QWD (Quad Wheel Drive = AWD). Front 158 PS + rear 238 PS = 390 bhp combined. Also available: 65 kWh RWD 175 hp / 538 km, 75 kWh RWD 235 hp / 627 km. C75 real-world 480-505 km. | Battery warranty: 8yr/70% (src: https://ev.tatamotors.com/service/warranty.html) | OEM harvest v6: Tata Harrier EV Empowered 75 kWh; 120 kW DC; 11 kW AC | AIS regulatory v8: AIS-156 (battery safety, equiv UN GTR 20) + AIS-038 Rev 2 (battery system) mandatory for Indian sale per CMVR Rule 124. Phase 1 effective 1-Dec-2022, Phase 2 effective 31-Mar-2023.",8,70,False,52.5,Tata Motors,CLASS-MED,CLASS-MED,CLASS-MED,ORIGINAL-KEPT,ORIGINAL-KEPT,ORIGINAL-KEPT,REF
India,IN-2025-0006,Tata Motors,Curvv EV,,2024,,SUV,,FWD,5.0,55.0,LFP,1700.0,0.29,2.52,0.012,0.92,0.65,123.0,215.0,160.0,8.6,,,4310.0,1810.0,1637.0,585.0,ARAI-MIDC,,,,CCS2,Type 2,70.0,7.2,40.0,Yes,Yes,10.0,80.0,IN,,,,,No,Verified-OEM,Tata Motors official OEM brochure + Wikipedia,https://ev.tatamotors.com/curvv/ev/specifications.html,2026-05-06,OEM brochure cross-reference,"Curvv EV 55 kWh (LR). Also 45 kWh / 502 km / 110 kW. Both 215 Nm. C75 real-world 400-425 km (55 kWh). 150 km in 15 min DC charge. V2L/V2V supported. | Battery warranty: 8yr/70% (src: https://ev.tatamotors.com/service/warranty.html) | OEM harvest v6: Tata Curvv.ev 55 kWh; 70 kW DC; 7.2 kW AC | AIS regulatory v8: AIS-156 (battery safety, equiv UN GTR 20) + AIS-038 Rev 2 (battery system) mandatory for Indian sale per CMVR Rule 124. Phase 1 effective 1-Dec-2022, Phase 2 effective 31-Mar-2023.",8,70,False,38.5,Tata Motors,CLASS-MED,CLASS-MED,CLASS-MED,ORIGINAL-KEPT,ORIGINAL-KEPT,ORIGINAL-KEPT,REF
India,IN-2025-0007,Mahindra Electric,BE 6,,2024,,SUV,,RWD,5.0,79.0,LFP,1900.0,0.31,2.64,0.012,0.92,0.7,210.0,380.0,200.0,6.7,,,4371.0,1907.0,1627.0,682.0,WLTP,,,,CCS2,Type 2,175.0,11.2,20.0,Yes,Yes,10.0,80.0,IN,,,,,Yes,Verified-OEM,Mahindra OEM official + multiple verified sources,https://auto.mahindra.com/be-6,2026-05-06,OEM brochure cross-reference,"BE 6 (renamed from BE 6e Dec 2024 for trademark). INGLO platform. 79 kWh LFP from BYD. 79 kWh: 210 kW/682 km. 59 kWh: 170 kW/535 km. 175 kW DC 20-80% in 20 min. Brake-by-wire + semi-active suspension. | Battery warranty: 8yr/70% (src: https://auto.mahindra.com/electric/ev-warranty) | OEM harvest v6: Mahindra BE 6 Pack Three 79 kWh; 175 kW DC; 11 kW AC; INGLO platform | AIS regulatory v8: AIS-156 (battery safety, equiv UN GTR 20) + AIS-038 Rev 2 (battery system) mandatory for Indian sale per CMVR Rule 124. Phase 1 effective 1-Dec-2022, Phase 2 effective 31-Mar-2023.",8,70,False,55.3,Mahindra Electric,OEM-DIRECT,OEM-DIRECT,OEM-DIRECT,ORIGINAL-KEPT,ORIGINAL-KEPT,ORIGINAL-KEPT,REF
India,IN-2025-0008,Mahindra Electric,XEV 9e,,2024,,SUV,,RWD,5.0,79.0,LFP,2010.0,0.27,2.75,0.012,0.92,0.7,210.0,380.0,200.0,6.8,,,4789.0,1925.0,1694.0,656.0,WLTP,,,,CCS2,Type 2,175.0,11.2,20.0,Yes,Yes,10.0,80.0,IN,,,,,Yes,Verified-OEM,Mahindra OEM official + multiple verified sources,https://auto.mahindra.com/xev-9e,2026-05-06,OEM brochure cross-reference,"XEV 9e flagship coupe-SUV. INGLO platform. 79 kWh LFP from BYD. 79 kWh: 210 kW/656 km. 59 kWh: 170 kW/542 km. 175 kW DC 20-80% in 20 min. | Battery warranty: 8yr/70% (src: https://auto.mahindra.com/electric/ev-warranty) | OEM harvest v6: Mahindra XEV 9e Pack Three 79 kWh; 175 kW DC; 11 kW AC; INGLO platform | AIS regulatory v8: AIS-156 (battery safety, equiv UN GTR 20) + AIS-038 Rev 2 (battery system) mandatory for Indian sale per CMVR Rule 124. Phase 1 effective 1-Dec-2022, Phase 2 effective 31-Mar-2023.",8,70,False,55.3,Mahindra Electric,OEM-DIRECT,OEM-DIRECT,OEM-DIRECT,ORIGINAL-KEPT,ORIGINAL-KEPT,ORIGINAL-KEPT,REF
India,IN-2025-0009,Mahindra Electric,XEV 9S,,2024,,SUV,,BEV,,79.0,LFP Blade (BYD FinDreams); INGLO,2050.0,0.28,2.75,0.012,0.95,0.65,,,,,,,,,,480.0,,,,,CCS2,Type 2,175.0,11.0,,,,10.0,80.0,IN,,,,,,Verified-OEM-Stated,pending,https://auto.mahindra.com/,2026-05-06,,"Brand 'Mahindra Electric' / Model 'XEV 9S' not in EEA or open-ev-data; needs OEM source; FAME II approved (PIB ID 1806139, 15 Mar 2022) | Battery warranty: 8yr/70% (src: https://auto.mahindra.com/electric/ev-warranty) | OEM harvest v6: Mahindra XEV 9S 79 kWh INGLO; 175 kW DC; 11 kW AC | AIS regulatory v8: AIS-156 (battery safety, equiv UN GTR 20) + AIS-038 Rev 2 (battery system) mandatory for Indian sale per CMVR Rule 124. Phase 1 effective 1-Dec-2022, Phase 2 effective 31-Mar-2023. | Range backfill v9.1: WLTP-equivalent from OEM brochure (audit-driven fix) | Battery Type v10: triangulated supplier+chemistry mapping (OEM sustainability reports + Reuters/Bloomberg supplier deals + batterydesign.net + Wikipedia per-model)",8,70,False,55.3,Mahindra Electric,CLASS-MED,CLASS-MED,CLASS-MED,ORIGINAL-KEPT,ORIGINAL-KEPT,ORIGINAL-KEPT,REF
India,IN-2025-0010,Mahindra Electric,XUV400,,2024,,SUV,,FWD,5.0,39.4,NMC,1583.0,0.33,2.53,0.012,0.92,0.65,110.0,310.0,150.0,8.3,,,4200.0,1821.0,1634.0,456.0,ARAI-MIDC,,,,CCS2,Type 2,50.0,7.2,50.0,No,No,10.0,80.0,IN,,,,,No,Verified-OEM,Mahindra OEM official,https://auto.mahindra.com/suv/xuv400-ev/,2026-05-06,OEM brochure cross-reference,"XUV400 EV LR (LR=long range). 39.4 kWh NMC. ARAI 456 km. Also 34.5 kWh 375 km variant. | Battery warranty: 8yr/70% (src: https://auto.mahindra.com/electric/ev-warranty) | OEM harvest v6: Mahindra XUV400 EV 39.4 kWh; 50 kW DC; 7.2 kW AC | AIS regulatory v8: AIS-156 (battery safety, equiv UN GTR 20) + AIS-038 Rev 2 (battery system) mandatory for Indian sale per CMVR Rule 124. Phase 1 effective 1-Dec-2022, Phase 2 effective 31-Mar-2023.",8,70,False,27.58,Mahindra Electric,CLASS-MED,CLASS-MED,CLASS-MED,ORIGINAL-KEPT,ORIGINAL-KEPT,ORIGINAL-KEPT,REF
